# tau_us,P_x
2.625000000000000000e+00,9.894675756364030850e-01
2.629999999999999893e+00,9.814061444614061713e-01
2.635000000000000231e+00,9.825387805642782357e-01
2.640000000000000124e+00,9.916761150017525672e-01
2.645000000000000018e+00,9.988001880728127890e-01
2.649999999999999911e+00,9.961276717022777838e-01
2.655000000000000249e+00,9.869834332776059593e-01
2.660000000000000142e+00,9.817748892540070216e-01
2.665000000000000036e+00,9.860591973810421962e-01
2.669999999999999929e+00,9.947292028224867799e-01
2.675000000000000266e+00,9.980275080491511908e-01
2.680000000000000160e+00,9.926064709038637801e-01
2.685000000000000053e+00,9.851556540620285407e-01
2.689999999999999947e+00,9.841433901291611885e-01
2.694999999999999840e+00,9.901345841824399363e-01
2.700000000000000178e+00,9.958527091719999724e-01
2.705000000000000071e+00,9.948297306989519750e-01
2.709999999999999964e+00,9.888172693033592253e-01
2.714999999999999858e+00,9.852897840224699166e-01
2.720000000000000195e+00,9.880835021814580177e-01
2.725000000000000089e+00,9.932305761620097151e-01
2.729999999999999982e+00,9.943117001556400769e-01
2.734999999999999876e+00,9.901986169611225463e-01
2.740000000000000213e+00,9.863324533997770427e-01
2.745000000000000107e+00,9.876815205129209074e-01
2.750000000000000000e+00,9.922900552998275003e-01
2.754999999999999893e+00,9.940041926201337308e-01
2.760000000000000231e+00,9.903182882438124057e-01
2.765000000000000124e+00,9.856687425118861867e-01
2.770000000000000018e+00,9.861738555343968482e-01
2.774999999999999911e+00,9.915928558373647839e-01
2.780000000000000249e+00,9.951073905623935012e-01
2.785000000000000142e+00,9.917772332296934668e-01
2.790000000000000036e+00,9.849354994807606456e-01
2.794999999999999929e+00,9.827522906751753329e-01
2.800000000000000266e+00,9.884196228830322006e-01
2.805000000000000160e+00,9.954796578164359921e-01
2.810000000000000053e+00,9.950672466641317104e-01
2.814999999999999947e+00,9.867466259031811848e-01
2.819999999999999840e+00,9.796888902396558851e-01
2.825000000000000178e+00,9.823346296152879464e-01
2.830000000000000071e+00,9.920525975696939947e-01
2.834999999999999964e+00,9.973967019429461622e-01
2.839999999999999858e+00,9.912843801619228845e-01
2.845000000000000195e+00,9.798011805943811492e-01
2.850000000000000089e+00,9.757606779515948237e-01
2.854999999999999982e+00,9.838690549429114363e-01
2.859999999999999876e+00,9.948161168638517404e-01
2.865000000000000213e+00,9.953950204275636704e-01
2.870000000000000107e+00,9.833679619714339459e-01
2.875000000000000000e+00,9.700713444999693458e-01
2.879999999999999893e+00,9.664999056988090587e-01
2.885000000000000231e+00,9.698563558187898170e-01
2.890000000000000124e+00,9.685061417882117052e-01
2.895000000000000018e+00,9.579330778348867925e-01
2.899999999999999911e+00,9.477739371223634635e-01
